Package,LibPath,Version,Priority
abind,C:/Program Files/R/R-3.4.0/library,1.4-5,NA
assertthat,C:/Program Files/R/R-3.4.0/library,0.2.0,NA
backports,C:/Program Files/R/R-3.4.0/library,1.1.2,NA
base,C:/Program Files/R/R-3.4.0/library,3.4.0,base
base64enc,C:/Program Files/R/R-3.4.0/library,0.1-3,NA
BH,C:/Program Files/R/R-3.4.0/library,1.62.0-1,NA
bindr,C:/Program Files/R/R-3.4.0/library,0.1.1,NA
bindrcpp,C:/Program Files/R/R-3.4.0/library,0.2.2,NA
bitops,C:/Program Files/R/R-3.4.0/library,1.0-6,NA
boot,C:/Program Files/R/R-3.4.0/library,1.3-19,recommended
broom,C:/Program Files/R/R-3.4.0/library,0.5.0,NA
callr,C:/Program Files/R/R-3.4.0/library,3.0.0,NA
caret,C:/Program Files/R/R-3.4.0/library,6.0-80,NA
caTools,C:/Program Files/R/R-3.4.0/library,1.17.1.1,NA
cellranger,C:/Program Files/R/R-3.4.0/library,1.1.0,NA
class,C:/Program Files/R/R-3.4.0/library,7.3-14,recommended
cli,C:/Program Files/R/R-3.4.0/library,1.0.1,NA
clipr,C:/Program Files/R/R-3.4.0/library,0.4.1,NA
clisymbols,C:/Program Files/R/R-3.4.0/library,1.2.0,NA
cluster,C:/Program Files/R/R-3.4.0/library,2.0.6,recommended
codetools,C:/Program Files/R/R-3.4.0/library,0.2-15,recommended
colorspace,C:/Program Files/R/R-3.4.0/library,1.3-2,NA
compiler,C:/Program Files/R/R-3.4.0/library,3.4.0,base
crayon,C:/Program Files/R/R-3.4.0/library,1.3.4,NA
crosstalk,C:/Program Files/R/R-3.4.0/library,1.0.0,NA
curl,C:/Program Files/R/R-3.4.0/library,3.1,NA
CVST,C:/Program Files/R/R-3.4.0/library,0.2-2,NA
data.table,C:/Program Files/R/R-3.4.0/library,1.10.4-3,NA
datasets,C:/Program Files/R/R-3.4.0/library,3.4.0,base
DBI,C:/Program Files/R/R-3.4.0/library,1.0.0,NA
dbplyr,C:/Program Files/R/R-3.4.0/library,1.2.2,NA
ddalpha,C:/Program Files/R/R-3.4.0/library,1.3.4,NA
DEoptimR,C:/Program Files/R/R-3.4.0/library,1.0-8,NA
desc,C:/Program Files/R/R-3.4.0/library,1.2.0,NA
dichromat,C:/Program Files/R/R-3.4.0/library,2.0-0,NA
digest,C:/Program Files/R/R-3.4.0/library,0.6.12,NA
dimRed,C:/Program Files/R/R-3.4.0/library,0.1.0,NA
dplyr,C:/Program Files/R/R-3.4.0/library,0.7.6,NA
DRR,C:/Program Files/R/R-3.4.0/library,0.0.3,NA
evaluate,C:/Program Files/R/R-3.4.0/library,0.11,NA
fansi,C:/Program Files/R/R-3.4.0/library,0.3.0,NA
fitdistrplus,C:/Program Files/R/R-3.4.0/library,1.0-9,NA
FNN,C:/Program Files/R/R-3.4.0/library,1.1,NA
forcats,C:/Program Files/R/R-3.4.0/library,0.3.0,NA
foreach,C:/Program Files/R/R-3.4.0/library,1.4.4,NA
foreign,C:/Program Files/R/R-3.4.0/library,0.8-68,recommended
fs,C:/Program Files/R/R-3.4.0/library,1.2.6,NA
geometry,C:/Program Files/R/R-3.4.0/library,0.3-6,NA
ggplot2,C:/Program Files/R/R-3.4.0/library,2.2.1,NA
ggrepel,C:/Program Files/R/R-3.4.0/library,0.7.0,NA
gh,C:/Program Files/R/R-3.4.0/library,1.0.1,NA
git2r,C:/Program Files/R/R-3.4.0/library,0.23.0,NA
glue,C:/Program Files/R/R-3.4.0/library,1.3.0,NA
gower,C:/Program Files/R/R-3.4.0/library,0.1.2,NA
graphics,C:/Program Files/R/R-3.4.0/library,3.4.0,base
grDevices,C:/Program Files/R/R-3.4.0/library,3.4.0,base
grid,C:/Program Files/R/R-3.4.0/library,3.4.0,base
gtable,C:/Program Files/R/R-3.4.0/library,0.2.0,NA
haven,C:/Program Files/R/R-3.4.0/library,1.1.2,NA
here,C:/Program Files/R/R-3.4.0/library,0.1,NA
hexbin,C:/Program Files/R/R-3.4.0/library,1.27.2,NA
highr,C:/Program Files/R/R-3.4.0/library,0.7,NA
hms,C:/Program Files/R/R-3.4.0/library,0.4.2,NA
htmltools,C:/Program Files/R/R-3.4.0/library,0.3.6,NA
htmlwidgets,C:/Program Files/R/R-3.4.0/library,1.0,NA
httpuv,C:/Program Files/R/R-3.4.0/library,1.3.5,NA
httr,C:/Program Files/R/R-3.4.0/library,1.3.1,NA
ini,C:/Program Files/R/R-3.4.0/library,0.3.1,NA
installr,C:/Program Files/R/R-3.4.0/library,0.20.0,NA
ipred,C:/Program Files/R/R-3.4.0/library,0.9-6,NA
iterators,C:/Program Files/R/R-3.4.0/library,1.0.10,NA
jsonlite,C:/Program Files/R/R-3.4.0/library,1.5,NA
kernlab,C:/Program Files/R/R-3.4.0/library,0.9-27,NA
KernSmooth,C:/Program Files/R/R-3.4.0/library,2.23-15,recommended
knitr,C:/Program Files/R/R-3.4.0/library,1.20,NA
labeling,C:/Program Files/R/R-3.4.0/library,0.3,NA
lattice,C:/Program Files/R/R-3.4.0/library,0.20-35,recommended
lava,C:/Program Files/R/R-3.4.0/library,1.6.3,NA
